# =============================================================
# Mini Exchange sample scenario
# Demonstrates: resting orders, limit matches, partial fills,
#               FIFO priority, cancel, snapshots, market sweep
# =============================================================

PLACE,1,BUY,LIMIT,10020,10
PLACE,2,BUY,LIMIT,10025,5
PLACE,3,SELL,LIMIT,10030,8
PLACE,4,SELL,LIMIT,10035,3
SNAPSHOT
PLACE,5,BUY,LIMIT,10030,5
PLACE,6,SELL,LIMIT,10030,4
PLACE,7,SELL,LIMIT,10030,4
PLACE,8,BUY,LIMIT,10030,6
PLACE,9,SELL,LIMIT,10025,3
SNAPSHOT
CANCEL,2
TOP_OF_BOOK
PLACE,10,BUY,MARKET,20
SNAPSHOT
